iteration	reward	status	description	seconds
1	1.412709	keep	Claude Code pipeline.py edit improved reward	113.3
2	-inf	crash	Claude Code timed out or exited nonzero	600.1
3	1.413709	keep	Claude Code pipeline.py edit improved reward	309.3
4	1.414347	keep	Claude Code pipeline.py edit improved reward	257.7
5	-inf	crash	Claude Code timed out or exited nonzero	600.1
6	1.450252	keep	Claude Code pipeline.py edit improved reward	87.8
7	-inf	crash	Claude Code timed out or exited nonzero	600.0
8	1.450252	discard	Claude Code edit did not improve reward; restored pipeline.py	96.5
9	-inf	crash	Claude Code timed out or exited nonzero	1371.9
10	-inf	crash	Claude Code timed out or exited nonzero	860.5
11	-inf	crash	Claude Code timed out or exited nonzero	3112.3
12	-inf	crash	Claude Code timed out or exited nonzero	1101.1
13	-inf	crash	Claude Code timed out or exited nonzero	979.0
14	-inf	crash	Claude Code timed out or exited nonzero	988.0
15	-inf	crash	Claude Code timed out or exited nonzero	1045.0
16	-inf	crash	Claude Code timed out or exited nonzero	1046.0
17	-inf	crash	Claude Code timed out or exited nonzero	1635.0
18	-inf	crash	Claude Code timed out or exited nonzero	940.0
19	-inf	crash	Claude Code timed out or exited nonzero	959.0
20	-inf	crash	Claude Code timed out or exited nonzero	717.0
21	-inf	crash	Claude Code timed out or exited nonzero	948.0
22	-inf	crash	Claude Code timed out or exited nonzero	1044.0
23	-inf	crash	Claude Code timed out or exited nonzero	1033.0
24	-inf	crash	Claude Code timed out or exited nonzero	635.0
25	-inf	crash	Claude Code timed out or exited nonzero	978.0
26	-inf	crash	Claude Code timed out or exited nonzero	929.0
27	-inf	crash	Claude Code timed out or exited nonzero	1033.0
28	-inf	crash	Claude Code timed out or exited nonzero	720.0
29	-inf	crash	Claude Code timed out or exited nonzero	1084.0
30	-inf	crash	Claude Code timed out or exited nonzero	973.0
31	-inf	crash	Claude Code timed out or exited nonzero	993.0
32	-inf	crash	Claude Code timed out or exited nonzero	610.0
33	-inf	crash	Claude Code timed out or exited nonzero	973.0
34	-inf	crash	Claude Code timed out or exited nonzero	961.0
35	-inf	crash	Claude Code timed out or exited nonzero	1031.0
36	-inf	crash	Claude Code timed out or exited nonzero	695.0
37	-inf	crash	Claude Code timed out or exited nonzero	1022.0
38	-inf	crash	Claude Code timed out or exited nonzero	1091.0
39	-inf	crash	Claude Code timed out or exited nonzero	1084.0
40	-inf	crash	Claude Code timed out or exited nonzero	979.0
41	-inf	crash	Claude Code timed out or exited nonzero	945.0
42	-inf	crash	Claude Code timed out or exited nonzero	1027.0
43	-inf	crash	Claude Code timed out or exited nonzero	905.0
44	-inf	crash	Claude Code timed out or exited nonzero	1015.0
45	-inf	crash	Claude Code timed out or exited nonzero	1030.0
46	-inf	crash	Claude Code timed out or exited nonzero	994.0
47	-inf	crash	Claude Code timed out or exited nonzero	924.0
48	-inf	crash	Claude Code timed out or exited nonzero	943.0
49	-inf	crash	Claude Code timed out or exited nonzero	944.0
50	-inf	crash	Claude Code timed out or exited nonzero	1041.0
