timestamp,AF8,AF7,CHEEK_R,CHEEK_L,EAR_R,AFz,BROW_L,NOSE,marker
0.0000,8372.6494140625,15576.5263671875,-43190.984375,-164899.84375,-289455.625,-305171.8125,-292233.125,-292973.53125,0
0.0000,8413.240234375,15727.490234375,-43155.671875,-164902.203125,-289444.71875,-305160.59375,-292222.0625,-292962.59375,0
0.0000,8348.5546875,15713.7666015625,-43159.06640625,-164902.03125,-289441.28125,-305157.125,-292218.59375,-292959.09375,0
0.0000,8224.994140625,15535.3994140625,-43206.0078125,-164890.625,-289454.75,-305170.625,-292232.15625,-292972.59375,0
0.0000,8270.7255859375,15592.4853515625,-43212.53125,-164891.296875,-289464.25,-305180.0,-292241.5,-292981.84375,0
0.0000,8404.478515625,15707.6865234375,-43186.6484375,-164902.515625,-289463.3125,-305179.0625,-292240.3125,-292980.6875,0
0.0000,8421.8681640625,15728.294921875,-43183.87890625,-164906.546875,-289460.0625,-305175.5625,-292236.875,-292977.4375,0
0.0000,8217.1259765625,15561.7294921875,-43224.6484375,-164895.1875,-289470.78125,-305186.4375,-292247.9375,-292988.34375,0
0.0000,8227.8544921875,15572.5029296875,-43225.6328125,-164874.140625,-289463.5625,-305178.9375,-292240.71875,-292981.03125,0
0.0000,8468.1357421875,15709.072265625,-43188.88671875,-164863.9375,-289443.125,-305158.3125,-292220.0625,-292960.53125,0
0.0276,8456.111328125,15763.6552734375,-43183.38671875,-164877.265625,-289447.625,-305163.375,-292224.9375,-292965.25,0
0.0276,8251.9052734375,15591.14453125,-43221.3828125,-164869.359375,-289459.25,-305174.90625,-292236.375,-292976.9375,0
0.0276,8219.31640625,15540.4951171875,-43237.1640625,-164852.90625,-289461.71875,-305177.40625,-292238.875,-292979.3125,0
0.0276,8439.16796875,15688.8662109375,-43218.65625,-164858.671875,-289460.5625,-305176.375,-292237.75,-292978.125,0
0.0276,8403.0029296875,15783.951171875,-43207.21484375,-164874.890625,-289465.0625,-305180.84375,-292242.40625,-292982.6875,0
0.0276,8272.2900390625,15677.9140625,-43233.140625,-164858.453125,-289462.53125,-305178.0,-292239.6875,-292980.15625,0
0.0276,8182.70458984375,15571.6982421875,-43233.0078125,-164816.78125,-289442.375,-305157.5625,-292219.34375,-292959.75,0
0.0276,8304.3427734375,15695.3486328125,-43217.44921875,-164823.703125,-289445.34375,-305160.59375,-292222.5,-292962.59375,0
0.0276,8462.1904296875,15819.802734375,-43219.73046875,-164850.21875,-289460.1875,-305175.78125,-292237.59375,-292977.78125,0
0.0276,8362.45703125,15754.1337890625,-43248.47265625,-164849.5,-289468.34375,-305184.03125,-292245.75,-292985.875,0
0.0584,8215.6513671875,15586.40625,-43267.33984375,-164821.15625,-289465.375,-305180.84375,-292242.59375,-292982.78125,0
0.0584,8344.978515625,15689.3134765625,-43251.24609375,-164817.765625,-289462.03125,-305177.59375,-292239.375,-292979.53125,0
0.0584,8476.80859375,15821.45703125,-43236.046875,-164833.640625,-289464.625,-305180.28125,-292242.28125,-292982.4375,0
0.0585,8335.27734375,15774.9208984375,-43240.0703125,-164821.96875,-289455.46875,-305170.96875,-292232.9375,-292973.1875,0
0.0585,8171.12646484375,15639.46875,-43257.7265625,-164783.484375,-289441.59375,-305157.03125,-292218.9375,-292959.3125,0
0.0585,8296.02734375,15731.87109375,-43259.91796875,-164790.578125,-289452.875,-305168.34375,-292230.28125,-292970.625,0
0.0585,8449.986328125,15875.771484375,-43247.58203125,-164812.890625,-289462.65625,-305178.0625,-292239.90625,-292980.375,0
0.0585,8415.8330078125,15834.9130859375,-43255.94140625,-164818.171875,-289465.125,-305180.59375,-292242.53125,-292983.09375,0
0.0585,8269.697265625,15633.61328125,-43293.40234375,-164799.796875,-289470.96875,-305186.53125,-292248.40625,-292988.59375,0
0.0585,8324.81640625,15670.4931640625,-43287.5,-164788.578125,-289467.875,-305183.5,-292245.34375,-292985.5,0
0.1206,8448.109375,15844.5234375,-43259.3828125,-164793.0,-289460.5,-305175.78125,-292237.90625,-292977.96875,0
0.1206,8459.1953125,15869.2001953125,-43248.65234375,-164786.515625,-289446.65625,-305161.625,-292223.9375,-292964.15625,0
0.1206,8330.94140625,15685.6923828125,-43280.3046875,-164764.125,-289446.125,-305161.21875,-292223.375,-292963.65625,0
0.1206,8338.7197265625,15681.3564453125,-43299.8828125,-164767.421875,-289463.9375,-305179.375,-292241.25,-292981.65625,0
0.1206,8440.375,15829.861328125,-43272.5234375,-164773.734375,-289460.78125,-305176.15625,-292238.125,-292978.625,0
0.1206,8465.8564453125,15872.10546875,-43268.234375,-164784.6875,-289462.15625,-305177.4375,-292239.46875,-292979.78125,0
0.1206,8299.1123046875,15688.5087890625,-43293.89453125,-164764.5625,-289460.59375,-305175.84375,-292237.90625,-292978.1875,0
0.1206,8243.9482421875,15642.822265625,-43300.8671875,-164741.328125,-289455.875,-305171.0,-292233.1875,-292973.34375,0
0.1206,8400.5888671875,15785.1572265625,-43283.56640625,-164749.0625,-289457.34375,-305172.4375,-292234.6875,-292974.84375,0
0.1206,8470.1474609375,15817.791015625,-43277.26171875,-164765.5,-289463.3125,-305178.53125,-292240.9375,-292981.03125,0
0.1486,8369.0732421875,15652.4326171875,-43300.91015625,-164747.84375,-289460.28125,-305175.40625,-292237.90625,-292977.96875,0
0.1486,8333.712890625,15564.412109375,-43321.51953125,-164723.9375,-289458.71875,-305173.96875,-292236.375,-292976.34375,0
0.1486,8499.65234375,15684.9326171875,-43307.70703125,-164731.078125,-289462.375,-305177.625,-292240.03125,-292979.96875,0
0.1486,8508.861328125,15777.3349609375,-43292.640625,-164748.515625,-289467.625,-305182.71875,-292245.125,-292985.25,0
0.1486,8346.810546875,15665.978515625,-43300.2421875,-164730.375,-289457.46875,-305172.53125,-292234.8125,-292974.96875,0
0.1486,8228.3916015625,15538.5283203125,-43318.078125,-164701.765625,-289451.78125,-305166.90625,-292229.3125,-292969.59375,0
0.1486,8350.2529296875,15634.1044921875,-43299.75,-164701.9375,-289449.0625,-305164.03125,-292226.53125,-292966.90625,0
0.1486,8499.4736328125,15736.0283203125,-43275.1640625,-164711.421875,-289443.375,-305158.21875,-292220.875,-292960.96875,0
0.1486,8439.615234375,15654.400390625,-43304.80078125,-164729.15625,-289462.21875,-305177.3125,-292239.90625,-292979.84375,0
0.1486,8301.705078125,15474.2900390625,-43332.25,-164707.078125,-289463.0625,-305178.125,-292240.71875,-292980.6875,0
0.1775,8386.552734375,15554.9794921875,-43315.3046875,-164696.484375,-289455.09375,-305170.0,-292232.75,-292972.59375,0
0.1775,8527.234375,15702.8134765625,-43303.4609375,-164715.484375,-289461.8125,-305176.5625,-292239.21875,-292979.0625,0
0.1775,8494.9140625,15639.111328125,-43308.9140625,-164714.953125,-289460.15625,-305175.125,-292237.71875,-292977.65625,0
0.1775,8327.23046875,15475.943359375,-43334.21484375,-164681.640625,-289452.90625,-305167.71875,-292230.28125,-292970.1875,0
0.1775,8366.2119140625,15545.14453125,-43324.515625,-164663.3125,-289444.40625,-305159.03125,-292221.65625,-292961.6875,0
0.1775,8500.412109375,15690.1630859375,-43311.23828125,-164681.234375,-289453.53125,-305168.375,-292231.09375,-292971.25,0
0.1776,8491.6953125,15684.5751953125,-43325.0078125,-164696.703125,-289464.625,-305179.46875,-292242.375,-292982.28125,0
0.1776,8343.32421875,15461.3701171875,-43360.63671875,-164678.6875,-289470.0625,-305185.0625,-292247.875,-292987.78125,0
0.1776,8359.4619140625,15468.076171875,-43358.7578125,-164656.921875,-289462.9375,-305177.75,-292240.5625,-292980.5625,0
0.1776,8476.7197265625,15627.220703125,-43331.04296875,-164660.234375,-289457.96875,-305172.65625,-292235.75,-292975.625,0
0.2406,8514.1806640625,15657.126953125,-43319.6875,-164662.734375,-289451.875,-305166.6875,-292229.65625,-292969.6875,0
0.2406,8364.826171875,15498.2060546875,-43346.01953125,-164638.90625,-289446.15625,-305160.96875,-292223.90625,-292964.0,0
0.2407,8336.484375,15482.068359375,-43354.69140625,-164619.28125,-289444.40625,-305159.03125,-292222.125,-292962.125,0
0.2407,8525.8486328125,15619.0390625,-43347.22265625,-164637.4375,-289456.96875,-305171.78125,-292234.6875,-292974.65625,0
0.2407,8506.6708984375,15676.8857421875,-43341.0546875,-164655.40625,-289464.03125,-305178.84375,-292241.59375,-292981.59375,0
0.2407,8402.2431640625,15503.3017578125,-43361.9765625,-164636.046875,-289458.5,-305173.15625,-292236.15625,-292976.09375,0
0.2407,8375.0185546875,15460.431640625,-43387.63671875,-164620.4375,-289463.9375,-305178.78125,-292241.6875,-292981.59375,0
0.2407,8472.78515625,15636.65234375,-43367.4765625,-164623.53125,-289463.1875,-305177.71875,-292240.71875,-292980.5625,0
0.2407,8499.7861328125,15691.056640625,-43338.41796875,-164625.8125,-289452.5,-305167.15625,-292230.21875,-292970.125,0
0.2407,8419.4091796875,15542.41796875,-43360.9921875,-164619.953125,-289454.65625,-305169.4375,-292232.53125,-292972.40625,0
0.2705,8241.1318359375,15484.83984375,-43388.12890625,-164601.890625,-289460.15625,-305174.90625,-292238.03125,-292977.8125,0
0.2705,8395.4931640625,15592.6201171875,-43371.85546875,-164599.609375,-289457.34375,-305171.9375,-292235.125,-292974.78125,0
0.2705,8534.9677734375,15661.5078125,-43361.796875,-164621.5625,-289465.875,-305180.4375,-292243.75,-292983.53125,0
0.2705,8453.3388671875,15585.7802734375,-43369.44140625,-164613.15625,-289459.65625,-305174.15625,-292237.53125,-292977.375,0
0.2705,8360.982421875,15431.330078125,-43391.9296875,-164583.203125,-289453.4375,-305167.84375,-292231.21875,-292971.125,0
0.2705,8436.486328125,15555.60546875,-43390.40625,-164589.15625,-289461.8125,-305176.09375,-292239.6875,-292979.625,0
0.2705,8535.951171875,15688.4189453125,-43361.12890625,-164595.453125,-289454.03125,-305168.46875,-292232.0,-292971.625,0
0.2705,8477.7470703125,15618.63671875,-43361.0390625,-164592.0625,-289447.90625,-305162.15625,-292225.8125,-292965.4375,0
0.2705,8345.693359375,15454.083984375,-43405.33984375,-164583.5625,-289463.15625,-305177.21875,-292241.03125,-292980.65625,0
0.2705,8424.013671875,15494.853515625,-43407.21484375,-164581.734375,-289468.4375,-305182.53125,-292245.90625,-292985.8125,0
0.3547,8549.0498046875,15645.2802734375,-43381.734375,-164592.015625,-289466.84375,-305181.0625,-292244.34375,-292984.25,0
0.3547,8574.84375,15632.40625,-43380.6171875,-164597.375,-289464.90625,-305179.0625,-292242.375,-292982.28125,0
0.3547,8433.580078125,15456.9443359375,-43410.92578125,-164576.59375,-289464.5625,-305178.5625,-292242.09375,-292981.96875,0
0.3548,8457.0498046875,15470.5791015625,-43409.05078125,-164560.859375,-289459.78125,-305173.875,-292237.34375,-292977.28125,0
