timestamp,AF8,AF7,CHEEK_R,CHEEK_L,EAR_R,AFz,BROW_L,NOSE,marker
0.0000,-13503.89453125,7551.58056640625,-49995.21484375,-375000.0,-375000.0,-375000.0,7834.24072265625,11504.798828125,0
0.0000,-12139.9013671875,10097.220703125,-50037.68359375,-375000.0,-375000.0,-375000.0,9814.470703125,13489.857421875,0
0.0000,-11104.658203125,11112.97265625,-49817.7421875,-375000.0,-375000.0,-375000.0,9575.6650390625,13254.046875,0
0.0000,-11911.2880859375,9744.8232421875,-49747.37890625,-375000.0,-375000.0,-375000.0,8104.29443359375,11784.6875,0
0.0000,-13415.2919921875,7686.71923828125,-49952.1640625,-375000.0,-375000.0,-375000.0,7600.97802734375,11283.1591796875,0
0.0000,-12508.392578125,9567.3505859375,-50058.15625,-375000.0,-375000.0,-375000.0,9500.5185546875,13186.1416015625,0
0.0000,-11117.3095703125,11174.708984375,-49839.51171875,-375000.0,-375000.0,-375000.0,9743.9287109375,13433.486328125,0
0.0000,-11705.5625,10079.8310546875,-49728.33203125,-375000.0,-375000.0,-375000.0,8298.6650390625,11990.14453125,0
0.0000,-13252.2578125,7866.29296875,-49905.046875,-375000.0,-375000.0,-375000.0,7473.43896484375,11166.70703125,0
0.0000,-12870.7587890625,8958.0859375,-50070.8515625,-375000.0,-375000.0,-375000.0,9113.7890625,12811.03515625,0
0.0316,-11176.2734375,11062.7265625,-49876.30078125,-375000.0,-375000.0,-375000.0,9843.9306640625,13544.7529296875,0
0.0316,-11538.37109375,10285.869140625,-49743.578125,-375000.0,-375000.0,-375000.0,8471.4443359375,12174.6806640625,0
0.0316,-13019.9345703125,8221.1044921875,-49868.8359375,-375000.0,-375000.0,-375000.0,7433.29541015625,11138.72265625,0
0.0316,-13169.109375,8547.88671875,-50074.47265625,-375000.0,-375000.0,-375000.0,8727.6396484375,12435.525390625,0
0.0316,-11318.51953125,11054.6796875,-49911.83984375,-375000.0,-375000.0,-375000.0,9928.46484375,13640.7763671875,0
0.0316,-11394.3818359375,10546.177734375,-49755.51171875,-375000.0,-375000.0,-375000.0,8682.4892578125,12397.4384765625,0
0.0316,-12756.3173828125,8418.828125,-49832.8046875,-375000.0,-375000.0,-375000.0,7434.3681640625,11151.015625,0
0.0316,-13376.1767578125,7902.23486328125,-50069.109375,-375000.0,-375000.0,-375000.0,8272.7373046875,11990.994140625,0
0.0316,-11543.5126953125,10724.544921875,-49949.83984375,-375000.0,-375000.0,-375000.0,9861.0517578125,13582.662109375,0
0.0316,-11269.748046875,10658.2490234375,-49768.03125,-375000.0,-375000.0,-375000.0,8856.1181640625,12581.169921875,0
0.0905,-12476.33984375,8781.373046875,-49788.55078125,-375000.0,-375000.0,-375000.0,7499.724609375,11227.369140625,0
0.0905,-13519.40625,7524.3564453125,-50027.66796875,-375000.0,-375000.0,-375000.0,7861.95703125,11591.4794921875,0
0.0905,-11817.9921875,10366.3798828125,-49989.58203125,-375000.0,-375000.0,-375000.0,9719.2529296875,13452.306640625,0
0.0905,-11210.4267578125,10778.6806640625,-49778.53515625,-375000.0,-375000.0,-375000.0,9024.91796875,12761.056640625,0
0.0905,-12213.662109375,9066.6259765625,-49753.14453125,-375000.0,-375000.0,-375000.0,7593.82568359375,11324.0185546875,0
0.0905,-13536.0361328125,7260.6953125,-49986.2734375,-375000.0,-375000.0,-375000.0,7510.140625,11231.392578125,0
0.0905,-12145.712890625,9908.482421875,-50012.78125,-375000.0,-375000.0,-375000.0,9482.32421875,13212.6064453125,0
0.0905,-11182.173828125,10808.2744140625,-49794.98828125,-375000.0,-375000.0,-375000.0,9182.3193359375,12916.087890625,0
0.0905,-11989.5634765625,9450.80859375,-49727.6640625,-375000.0,-375000.0,-375000.0,7726.9970703125,11460.3642578125,0
0.0905,-13477.474609375,7567.8974609375,-49938.53125,-375000.0,-375000.0,-375000.0,7288.14306640625,11009.3056640625,0
0.1489,-12550.1455078125,9407.1328125,-50050.109375,-375000.0,-375000.0,-375000.0,9173.1552734375,12901.1572265625,0
0.1489,-11199.6083984375,10840.9521484375,-49835.265625,-375000.0,-375000.0,-375000.0,9387.6865234375,13120.78515625,0
0.1489,-11750.5791015625,9856.849609375,-49731.41796875,-375000.0,-375000.0,-375000.0,7986.8583984375,11718.302734375,0
0.1489,-13228.2529296875,7826.1943359375,-49884.9296875,-375000.0,-375000.0,-375000.0,7170.43896484375,10881.275390625,0
0.1489,-12877.1513671875,8875.1171875,-50045.90625,-375000.0,-375000.0,-375000.0,8751.3779296875,12469.1875,0
0.1489,-11328.0419921875,10765.626953125,-49886.18359375,-375000.0,-375000.0,-375000.0,9505.79296875,13228.6103515625,0
0.1489,-11602.07421875,10059.8037109375,-49744.42578125,-375000.0,-375000.0,-375000.0,8224.3681640625,11948.7490234375,0
0.1489,-12997.716796875,8095.08544921875,-49837.859375,-375000.0,-375000.0,-375000.0,7161.98974609375,10866.880859375,0
0.1489,-13122.1708984375,8437.8271484375,-50042.9140625,-375000.0,-375000.0,-375000.0,8377.5673828125,12086.927734375,0
0.1489,-11443.287109375,10790.884765625,-49918.50390625,-375000.0,-375000.0,-375000.0,9586.21484375,13301.2978515625,0
0.1773,-11458.576171875,10390.8779296875,-49762.66796875,-375000.0,-375000.0,-375000.0,8460.9384765625,12178.123046875,0
0.1773,-12733.072265625,8478.328125,-49812.01953125,-375000.0,-375000.0,-375000.0,7220.14892578125,10921.240234375,0
0.1773,-13322.30859375,8076.53369140625,-50039.6953125,-375000.0,-375000.0,-375000.0,8008.13720703125,11704.400390625,0
0.1773,-11629.7900390625,10590.970703125,-49958.69140625,-375000.0,-375000.0,-375000.0,9564.8017578125,13270.720703125,0
0.1773,-11385.3515625,10493.6953125,-49782.9609375,-375000.0,-375000.0,-375000.0,8644.267578125,12352.064453125,0
0.1773,-12471.0205078125,8840.7841796875,-49776.2578125,-375000.0,-375000.0,-375000.0,7333.9638671875,11029.51171875,0
0.1773,-13454.5859375,7755.4287109375,-50008.7578125,-375000.0,-375000.0,-375000.0,7664.59130859375,11351.376953125,0
0.1773,-11909.2314453125,10296.8212890625,-49997.5390625,-375000.0,-375000.0,-375000.0,9453.6240234375,13151.138671875,0
0.1773,-11311.5009765625,10712.51953125,-49807.546875,-375000.0,-375000.0,-375000.0,8854.6875,12555.0185546875,0
0.1773,-12225.240234375,9224.876953125,-49766.8671875,-375000.0,-375000.0,-375000.0,7482.15625,11171.04296875,0
0.2108,-13491.109375,7606.6552734375,-49986.09375,-375000.0,-375000.0,-375000.0,7401.9580078125,11070.1025390625,0
0.2108,-12190.55078125,9953.1416015625,-50018.63671875,-375000.0,-375000.0,-375000.0,9298.01171875,12979.1650390625,0
0.2108,-11215.388671875,10813.7275390625,-49808.98046875,-375000.0,-375000.0,-375000.0,9046.8232421875,12731.5078125,0
0.2108,-11995.419921875,9572.8486328125,-49746.88671875,-375000.0,-375000.0,-375000.0,7647.24609375,11324.3310546875,0
0.2108,-13467.6396484375,7653.99658203125,-49961.5078125,-375000.0,-375000.0,-375000.0,7201.82080078125,10853.0673828125,0
0.2109,-12486.443359375,9530.3798828125,-50056.234375,-375000.0,-375000.0,-375000.0,9071.0078125,12734.279296875,0
0.2109,-11209.7119140625,10855.97265625,-49847.6015625,-375000.0,-375000.0,-375000.0,9223.9375,12891.5458984375,0
0.2109,-11797.2939453125,9814.158203125,-49749.12109375,-375000.0,-375000.0,-375000.0,7827.04345703125,11488.6611328125,0
0.2109,-13295.0390625,7593.244140625,-49913.94140625,-375000.0,-375000.0,-375000.0,7065.87744140625,10686.859375,0
0.2109,-12854.7998046875,8929.431640625,-50064.37109375,-375000.0,-375000.0,-375000.0,8717.40234375,12350.1865234375,0
0.2406,-11275.3359375,10907.650390625,-49884.88671875,-375000.0,-375000.0,-375000.0,9374.455078125,13014.2119140625,0
0.2406,-11620.2685546875,10099.544921875,-49752.47265625,-375000.0,-375000.0,-375000.0,8036.56884765625,11674.44921875,0
0.2406,-13093.560546875,7944.39013671875,-49863.91796875,-375000.0,-375000.0,-375000.0,7016.43505859375,10614.7529296875,0
0.2406,-13135.4033203125,8407.4736328125,-50068.4375,-375000.0,-375000.0,-375000.0,8331.4326171875,11934.3994140625,0
0.2406,-11415.2578125,10770.9912109375,-49911.6171875,-375000.0,-375000.0,-375000.0,9444.236328125,13056.546875,0
0.2406,-11494.2490234375,10260.611328125,-49753.27734375,-375000.0,-375000.0,-375000.0,8235.0966796875,11848.345703125,0
0.2406,-12822.4345703125,8243.1435546875,-49822.66015625,-375000.0,-375000.0,-375000.0,7048.5771484375,10632.9921875,0
0.2406,-13362.9443359375,8020.11767578125,-50045.50390625,-375000.0,-375000.0,-375000.0,7965.75830078125,11542.349609375,0
0.2406,-11596.44140625,10592.22265625,-49938.39453125,-375000.0,-375000.0,-375000.0,9451.076171875,13039.5146484375,0
0.2406,-11392.861328125,10471.6572265625,-49765.3046875,-375000.0,-375000.0,-375000.0,8448.466796875,12040.2578125,0
0.2730,-12574.1962890625,8650.34765625,-49792.34765625,-375000.0,-375000.0,-375000.0,7153.09375,10709.0771484375,0
0.2730,-13511.2255859375,7548.04931640625,-50028.60546875,-375000.0,-375000.0,-375000.0,7595.4345703125,11122.8525390625,0
0.2730,-11826.8876953125,10288.1044921875,-49982.83203125,-375000.0,-375000.0,-375000.0,9365.513671875,12913.8525390625,0
0.2730,-11273.9052734375,10576.083984375,-49779.96484375,-375000.0,-375000.0,-375000.0,8644.9384765625,12195.4677734375,0
0.2730,-12276.7392578125,8983.1650390625,-49764.0078125,-375000.0,-375000.0,-375000.0,7284.611328125,10805.546875,0
0.2730,-13566.568359375,7458.10546875,-49993.55859375,-375000.0,-375000.0,-375000.0,7339.46240234375,10817.4384765625,0
0.2730,-12141.734375,9954.3037109375,-50009.25,-375000.0,-375000.0,-375000.0,9234.2197265625,12733.6083984375,0
0.2730,-11262.23828125,10684.7587890625,-49802.00390625,-375000.0,-375000.0,-375000.0,8845.1650390625,12348.5322265625,0
0.2730,-12051.701171875,9334.8916015625,-49744.203125,-375000.0,-375000.0,-375000.0,7448.7177734375,10939.8369140625,0
0.2730,-13502.7763671875,7260.96337890625,-49950.734375,-375000.0,-375000.0,-375000.0,7084.33984375,10529.9501953125,0
0.3304,-12441.7392578125,9380.2216796875,-50034.0625,-375000.0,-375000.0,-375000.0,8967.697265625,12429.625,0
0.3304,-11201.5302734375,10740.81640625,-49820.87109375,-375000.0,-375000.0,-375000.0,9033.5009765625,12500.5693359375,0
0.3304,-11840.25390625,9644.8212890625,-49727.12890625,-375000.0,-375000.0,-375000.0,7632.8515625,11086.59765625,0
0.3304,-13383.41796875,7374.91259765625,-49896.1953125,-375000.0,-375000.0,-375000.0,6945.53564453125,10338.75390625,0
0.3304,-12826.4130859375,8876.8154296875,-50045.328125,-375000.0,-375000.0,-375000.0,8642.5693359375,12052.8642578125,0
0.3304,-11267.9150390625,10789.54296875,-49847.9140625,-375000.0,-375000.0,-375000.0,9190.1865234375,12608.4833984375,0
0.3304,-11663.09375,9890.7802734375,-49723.28125,-375000.0,-375000.0,-375000.0,7822.08154296875,11233.806640625,0
0.3304,-13166.78515625,7590.42822265625,-49858.0625,-375000.0,-375000.0,-375000.0,6885.49853515625,10225.966796875,0
0.3304,-13110.9951171875,8303.001953125,-50052.5234375,-375000.0,-375000.0,-375000.0,8281.0966796875,11624.6494140625,0
0.3304,-11350.6171875,10716.3642578125,-49884.9765625,-375000.0,-375000.0,-375000.0,9300.1572265625,12658.4169921875,0
0.3606,-11529.0732421875,10103.8818359375,-49715.90625,-375000.0,-375000.0,-375000.0,8021.056640625,11379.00390625,0
0.3606,-12927.4423828125,7926.41943359375,-49802.2734375,-375000.0,-375000.0,-375000.0,6880.2685546875,10184.9287109375,0
0.3606,-13367.99609375,7812.42529296875,-50033.5234375,-375000.0,-375000.0,-375000.0,7890.4775390625,11185.2587890625,0
0.3606,-11512.3095703125,10537.8623046875,-49910.14453125,-375000.0,-375000.0,-375000.0,9329.125,12640.982421875,0
0.3606,-11373.9072265625,10291.009765625,-49731.953125,-375000.0,-375000.0,-375000.0,8241.802734375,11555.4482421875,0
0.3606,-12590.78125,8356.82421875,-49768.65625,-375000.0,-375000.0,-375000.0,6987.19921875,10246.1279296875,0
0.3606,-13459.369140625,7449.34375,-50015.734375,-375000.0,-375000.0,-375000.0,7555.38037109375,10781.5859375,0
0.3606,-11757.5078125,10247.111328125,-49940.140625,-375000.0,-375000.0,-375000.0,9288.4453125,12538.4326171875,0
0.3606,-11273.861328125,10487.482421875,-49753.3671875,-375000.0,-375000.0,-375000.0,8503.7646484375,11757.2841796875,0
