timestamp,AF8,AF7,CHEEK_R,CHEEK_L,EAR_R,AFz,BROW_L,NOSE,marker
0.0000,138237.203125,165435.5625,-375000.0,-375000.0,-375000.0,-375000.0,173901.109375,173985.25,0
0.0000,157992.53125,173081.296875,-375000.0,-375000.0,-375000.0,-375000.0,173795.34375,173879.296875,0
0.0000,163162.9375,167146.140625,-375000.0,-375000.0,-375000.0,-375000.0,167731.3125,167813.703125,0
0.0000,137715.390625,157334.0,-375000.0,-375000.0,-375000.0,-375000.0,167621.171875,167703.515625,0
0.0000,135511.640625,162842.234375,-375000.0,-375000.0,-375000.0,-375000.0,173427.171875,173511.03125,0
0.0000,154923.546875,173108.203125,-375000.0,-375000.0,-375000.0,-375000.0,174359.640625,174443.9375,0
0.0000,164752.625,168491.9375,-375000.0,-375000.0,-375000.0,-375000.0,168732.21875,168814.875,0
0.0000,142020.234375,158773.71875,-375000.0,-375000.0,-375000.0,-375000.0,166869.34375,166951.734375,0
0.0000,133228.5,160303.46875,-375000.0,-375000.0,-375000.0,-375000.0,172665.46875,172749.375,0
0.0000,151618.03125,172525.578125,-375000.0,-375000.0,-375000.0,-375000.0,174670.28125,174754.671875,0
0.0312,165237.4375,169688.125,-375000.0,-375000.0,-375000.0,-375000.0,169808.734375,169891.796875,0
0.0312,146871.59375,160438.390625,-375000.0,-375000.0,-375000.0,-375000.0,166349.703125,166431.921875,0
0.0312,131677.421875,158330.9375,-375000.0,-375000.0,-375000.0,-375000.0,171730.265625,171814.046875,0
0.0312,148235.90625,171570.0,-375000.0,-375000.0,-375000.0,-375000.0,174772.421875,174856.875,0
0.0312,164656.46875,170796.40625,-375000.0,-375000.0,-375000.0,-375000.0,170922.421875,171005.75,0
0.0312,151730.234375,162186.5625,-375000.0,-375000.0,-375000.0,-375000.0,166150.15625,166232.265625,0
0.0313,131127.34375,156813.515625,-375000.0,-375000.0,-375000.0,-375000.0,170720.5,170803.703125,0
0.0313,144863.96875,170001.140625,-375000.0,-375000.0,-375000.0,-375000.0,174696.875,174781.046875,0
